phi_1,phi_2_mode,phi_2_err_m,phi_2_err_p,width_mode,width_err_m,width_err_p,peak_int_mode,peak_int_err_m,peak_int_err_p,linear_density_mode,linear_density_err_m,linear_density_err_p
-11.1,-0.6745906823134189,-0.7036332992265196,-0.6431604338992767,0.1271308477246013,0.11511620228931792,0.14434838800233998,199.06628797167124,148.30913620120873,244.84875282436676,63.436409692556815,42.79512441527376,88.59307351182876
-10.9,-0.6337568363700604,-0.6603515908382821,-0.6035389250624918,0.1275349374927052,0.11598336295907843,0.14476827897844616,221.76170603763043,173.64302175391194,273.8705646120241,70.8933765790027,50.4827455167943,99.3822220644119
-10.7,-0.5945976192015797,-0.6189046845161902,-0.5654652770598273,0.12808944233370967,0.1166994924322805,0.14499147747355334,243.6298980695729,202.13424379986625,306.85636196820144,78.2228891561679,59.128763265931646,111.52379549532756
-10.5,-0.5571892846405845,-0.5815234678406588,-0.5314339950322639,0.12854921616342596,0.11706986817676408,0.14471566311536138,273.09888500886024,226.89122940790992,332.4844404476726,87.99931550917287,66.58137686113392,120.6081898025668
-10.299999999999999,-0.5219988165699818,-0.5464505629341363,-0.4990977279422284,0.12917774670811302,0.11779292024735137,0.14497114710911177,294.6871931743928,249.72814991954766,356.72966693949945,95.41988770832168,73.7354988230178,129.63155715667008
-10.1,-0.48920818729407956,-0.5110161894992931,-0.46659157230735154,0.12975286944610162,0.11894752231804864,0.14575257177291492,327.3066248132072,273.5591432267345,385.4597881597263,106.4539304169469,81.56363437218525,140.82677670261126
-9.9,-0.4620579375777904,-0.48074343893110244,-0.4387293537071598,0.13027434246771027,0.11939691737811149,0.14566109536688754,349.8756788380362,294.1744829085766,410.123588854855,114.25167560631724,88.04162445565107,149.7435948084651
-9.7,-0.4261950962416028,-0.44936800361186124,-0.40904930171246623,0.13081567556550097,0.12001273253348176,0.14578355578046254,364.15111167574634,303.5146562643324,420.506642679476,119.40743316014762,91.30549719019496,153.66371680994246
-9.5,-0.4021189167838004,-0.4201703833212356,-0.3808318890105351,0.1314334438413486,0.12080164593831705,0.14618040410298763,373.9380729547733,312.43773428864404,432.4176826106267,123.19568801378621,94.60765230831926,158.44645877517237
-9.299999999999999,-0.3737813530402603,-0.3927889415208254,-0.35397036199197857,0.13191315759802588,0.12112948768898807,0.14600504138757114,378.4405601721775,310.28333897120393,429.05420996293196,125.13411515381303,94.21027485527851,157.0254163587634
-9.1,-0.3485252071106833,-0.36903345568285084,-0.3300682956473373,0.1325507728268864,0.1223644067733453,0.14697450815609506,366.50020712819435,303.73427060350565,418.8640198005258,121.77171506407633,93.16200780156575,154.31388528816876
-8.9,-0.3237699411649376,-0.34548923415669586,-0.30583578339835576,0.13306983911250492,0.12318640514309734,0.14748327425558228,344.55659182854447,287.9990641536943,395.7452647171481,114.929132589409,88.9290785673828,146.30138312965224
